sla_code06, sla_name06, ci_high, se, ci_low, estimate, rse
235052626,Gr. Bendigo (C) - S'saye,74.7,14.4,23.7,48.9,29.4
235101671,C. Goldfields (S) - M'borough,53.4,6.3,29.3,40.8,15.4
235101674,C. Goldfields (S) Bal,69,9,35.1,52.3,17.2
235102628,Gr. Bendigo (C) - Pt B,53.3,9.4,17.9,33.3,28.1
235103943,Loddon (S) - North,56.1,7.7,26.9,40.7,18.8
235103945,Loddon (S) - South,58.6,9.3,23.5,39.7,23.5
250052111,E. Gippsland (S) - Bairnsdale,61.5,8.3,30.1,45.3,18.3
250052113,E. Gippsland (S) - Orbost,75.9,9.8,39.2,58.8,16.7
250052115,E. Gippsland (S) - South-West,null,null,null,null,57.7
250052117,E. Gippsland (S) Bal,null,null,null,null,null
250156811,Wellington (S) - Alberton,74.2,10.7,34.6,55.2,19.4
250156812,Wellington (S) - Avon,81.9,11.1,40.9,63.9,17.3
250156813,Wellington (S) - Maffra,77.7,8.6,45.2,62.9,13.6
250156814,Wellington (S) - Rosedale,73.4,10.3,35,54.9,18.8
250156815,Wellington (S) - Sale,68.3,8.2,37.2,53,15.5
255050831,Baw Baw (S) - Pt A,62.8,12.2,18.2,38,32.1
255053811,Latrobe (C) - Moe,80.2,10,42.6,63.5,15.8
255053814,Latrobe (C) - Morwell,66,9.4,30.8,48.2,19.5
