ctry_phillp_3_percent_6_11_6_11, ctry_india_1_no_6_11_6_11, ctry_vietnm_1_no_6_11_6_11, ctry_india_3_percent_6_11_6_11, area_code, ctry_lebnon_1_no_6_11_6_11, ctry_phillp_1_no_6_11_6_11, ctry_greece_3_percent_6_11_6_11, ctry_germny_3_percent_6_11_6_11, ctry_greece_1_no_6_11_6_11, ctry_china_1_no_6_11_6_11, ctry_srilnk_3_percent_6_11_6_11, ctry_malay_3_percent_6_11_6_11, ctry_lebnon_3_percent_6_11_6_11, ctry_germny_1_no_6_11_6_11, ctry_italy_1_no_6_11_6_11, ctry_vietnm_2_denom_6_11_6_11, ctry_vietnm_3_percent_6_11_6_11, area_name, ctry_srilnk_1_no_6_11_6_11, ctry_china_3_percent_6_11_6_11, ctry_italy_3_percent_6_11_6_11, ctry_malay_1_no_6_11_6_11
1.33867500488568,190.0,24.0,1.85655657611882,101021009,0.0,137.0,1.16279069767442,0.605823724838773,119.0,105.0,0.175884307211257,0.185655657611882,0.0,62.0,149.0,10234.0,0.234512409615009,"Queanbeyan",18.0,1.02599179206566,1.45593120969318,19.0
1.42210730446025,172.0,17.0,3.70609782374488,101021010,0.0,66.0,0.0,0.883430295195001,0.0,13.0,0.495582848524025,0.280112044817927,0.0,41.0,30.0,4641.0,0.366300366300366,"Queanbeyan - East",23.0,0.280112044817927,0.646412411118294,13.0
0.0354358610914245,24.0,4.0,0.170092133238838,101021011,4.0,5.0,0.0637845499645641,0.637845499645641,9.0,18.0,0.0496102055279943,0.177179305457123,0.0283486888731396,90.0,82.0,14110.0,0.0283486888731396,"Queanbeyan Region",7.0,0.127569099929128,0.581148121899362,25.0
0.374181478016838,4.0,0.0,0.124727159338946,101041023,0.0,12.0,0.0935453695042095,0.873090115372622,3.0,3.0,0.0935453695042095,0.0935453695042095,0.0,28.0,3.0,3207.0,0.0,"Eden",3.0,0.0935453695042095,0.0935453695042095,3.0
0.0933706816059757,3.0,3.0,0.0933706816059757,101041024,0.0,3.0,0.186741363211951,1.24494242141301,6.0,0.0,0.0,0.0,0.0,40.0,12.0,3213.0,0.0933706816059757,"Eurobodalla Hinterland",0.0,0.0,0.373482726423903,0.0
0.235149780186075,4.0,6.0,0.0408956139454044,101041025,3.0,23.0,0.0306717104590533,0.736121051017278,3.0,13.0,0.0613434209181065,0.0817912278908087,0.0306717104590533,72.0,25.0,9781.0,0.0613434209181065,"Merimbula - Tura Beach",6.0,0.132910745322564,0.255597587158777,8.0
0.28878970858493,7.0,14.0,0.0918876345497506,101041026,3.0,22.0,0.0,0.774481491205041,0.0,6.0,0.0,0.039380414807036,0.039380414807036,59.0,19.0,7618.0,0.183775269099501,"Moruya - Tuross Head",0.0,0.0787608296140719,0.249409293777894,3.0
0.208478109798471,4.0,9.0,0.0463284688441047,101041027,4.0,18.0,0.0810748204771832,1.04239054899236,7.0,9.0,0.0347463516330785,0.0347463516330785,0.0463284688441047,90.0,27.0,8634.0,0.104239054899236,"Narooma - Bermagui",3.0,0.104239054899236,0.312717164697707,3.0
0.469371519490851,68.0,22.0,0.540970564836913,101021012,5.0,59.0,0.159108989657916,0.421638822593477,20.0,38.0,0.246618933969769,0.222752585521082,0.0397772474144789,53.0,76.0,12570.0,0.175019888623707,"Queanbeyan West - Jerrabomberra",31.0,0.30230708035004,0.60461416070008,28.0
0.0,6.0,0.0,0.248138957816377,101031013,0.0,0.0,0.0,0.661703887510339,0.0,0.0,0.124069478908189,0.124069478908189,0.0,16.0,0.0,2418.0,0.0,"Bombala",3.0,0.0,0.0,3.0
0.085604223141675,9.0,0.0,0.128406334712512,102011028,3.0,6.0,0.0428021115708375,0.613496932515337,3.0,6.0,0.0428021115708375,0.142673705236125,0.0428021115708375,43.0,17.0,7009.0,0.0,"Avoca Beach - Copacabana",3.0,0.085604223141675,0.242545298901412,10.0
0.154798761609907,16.0,3.0,0.154798761609907,102011029,0.0,16.0,0.048374613003096,0.638544891640867,5.0,16.0,0.0,0.0677244582043344,0.0,66.0,30.0,10336.0,0.0290247678018576,"Box Head - MacMasters Beach",0.0,0.154798761609907,0.290247678018576,7.0
0.29391815509835,13.0,0.0,0.29391815509835,102011030,7.0,13.0,0.813927198733891,0.406963599366946,36.0,9.0,0.0678272665611576,0.180872710829754,0.158263621976034,18.0,31.0,4423.0,0.0,"Calga - Kulnura",3.0,0.203481799683473,0.700881754465295,8.0
0.375220718069453,42.0,11.0,0.309005297233667,102011031,10.0,51.0,0.0735726898175397,0.50029429075927,10.0,69.0,0.0588581518540318,0.103001765744556,0.0735726898175397,68.0,35.0,13592.0,0.0809299587992937,"Erina - Green Point",8.0,0.507651559741024,0.257504414361389,14.0
0.686220254565578,128.0,25.0,0.708356391809629,102011032,7.0,124.0,0.0719424460431655,0.409518539014942,13.0,187.0,0.221361372440509,0.249031543995573,0.0387382401770891,74.0,24.0,18070.0,0.138350857775318,"Gosford - Springfield",40.0,1.03486441615938,0.132816823464305,45.0
0.526723470178156,14.0,3.0,0.216886134779241,102011033,12.0,34.0,0.170410534469404,0.29434546862897,11.0,12.0,0.29434546862897,0.154918667699458,0.185902401239349,19.0,15.0,6455.0,0.0464756003098373,"Kariong",19.0,0.185902401239349,0.232378001549187,10.0
0.28137310073157,5.0,3.0,0.0703432751828925,102011034,0.0,20.0,0.056274620146314,0.295441755768149,4.0,9.0,0.056274620146314,0.112549240292628,0.0,21.0,11.0,7108.0,0.0422059651097355,"Kincumber - Picketts Valley",4.0,0.126617895329207,0.154755205402364,8.0
0.6932676012941,20.0,0.0,0.308118933908489,102011035,4.0,45.0,0.107841626867971,0.354336773994762,7.0,31.0,0.0462178400862733,0.13865352025882,0.0616237867816977,23.0,10.0,6491.0,0.0,"Narara",3.0,0.477584347558157,0.154059466954244,9.0
0.0904295403165034,8.0,6.0,0.120572720422005,102011038,0.0,6.0,0.0,0.376789751318764,0.0,6.0,0.0,0.195930670685757,0.0,25.0,12.0,6635.0,0.0904295403165034,"Saratoga - Davistown",0.0,0.0904295403165034,0.180859080633007,13.0
0.190991564539233,44.0,7.0,0.35015120165526,102011039,0.0,24.0,0.167117618971829,0.366067165366863,21.0,25.0,0.0477478911348082,0.159159637116027,0.0,46.0,44.0,12566.0,0.0557058729906096,"Terrigal - North Avoca",6.0,0.198949546395034,0.35015120165526,20.0
0.323940536942534,35.0,8.0,0.155313956068338,102011040,6.0,73.0,0.0976259152429554,0.417128910583537,22.0,64.0,0.0355003328156202,0.0798757488351453,0.0266252496117151,94.0,76.0,22535.0,0.0355003328156202,"Umina - Booker Bay - Patonga",8.0,0.284002662524961,0.337253161748391,18.0
0.1319986800132,10.0,4.0,0.109998900011,102011041,6.0,12.0,0.1209987900121,0.3739962600374,11.0,15.0,0.0879991200087999,0.109998900011,0.0659993400065999,34.0,26.0,9091.0,0.0439995600044,"Wamberal - Forresters Beach",8.0,0.1649983500165,0.2859971400286,10.0
