Median_Tot_prsnl_inc_weekly, Average_num_psns_per_bedroom, Median_age_persons, Median_Tot_fam_inc_weekly, LGA_NAME11, Median_mortgage_repay_monthly, Average_household_size, Median_Tot_hhd_inc_weekly, Median_rent_weekly, LGA_MAIN11
549,1.1,45,1145,"Unincorporated NSW",1040,2.3,955,53,"19399"
462,1.1,48,1069,"Alpine (S)",1300,2.3,829,170,"20110"
479,1.1,45,1055,"Ararat (RC)",1018,2.3,844,150,"20260"
512,1.1,37,1272,"Ballarat (C)",1307,2.4,988,200,"20570"
618,1.1,39,1731,"Banyule (C)",1900,2.6,1394,300,"20660"
472,1.1,46,1071,"Bass Coast (S)",1300,2.2,855,224,"20740"
511,1.1,40,1273,"Baw Baw (S)",1387,2.5,1025,200,"20830"
758,1.1,42,2426,"Bayside (C)",2414,2.6,1826,390,"20910"
465,1.1,46,1074,"Benalla (RC)",1200,2.3,827,171,"21010"
773,1.1,38,2505,"Boroondara (C)",2400,2.6,1893,364,"21110"
429,1.1,35,1195,"Brimbank (C)",1600,2.9,1106,265,"21180"
406,1.1,48,959,"Buloke (S)",737,2.3,742,100,"21270"
469,1.1,42,1099,"Campaspe (S)",1300,2.4,886,170,"21370"
592,1.1,34,1479,"Cardinia (S)",1733,2.8,1303,280,"21450"
572,1.1,33,1450,"Casey (C)",1733,3.0,1342,295,"21610"
381,1.1,48,864,"Central Goldfields (S)",867,2.2,685,150,"21670"
497,1.1,42,1161,"Colac-Otway (S)",1248,2.4,914,175,"21750"
480,1.1,43,1149,"Corangamite (S)",1050,2.5,909,135,"21830"
534,1.1,36,1438,"Darebin (C)",1900,2.5,1178,295,"21890"
436,1.1,47,990,"East Gippsland (S)",1296,2.3,798,180,"22110"
568,1.1,37,1396,"Frankston (C)",1647,2.5,1140,265,"22170"
422,1.1,47,962,"Gannawarra (S)",988,2.3,764,125,"22250"
517,1.1,39,1341,"Greater Geelong (C)",1517,2.4,1049,231,"22750"
510,1.1,38,1206,"Greater Shepparton (C)",1300,2.5,980,185,"22830"
451,1.1,46,1072,"Hepburn (S)",1226,2.3,850,185,"22910"
439,1.1,47,990,"Hindmarsh (S)",800,2.3,785,120,"22980"
582,1.1,38,1568,"Hobsons Bay (C)",1800,2.6,1286,281,"23110"
530,1.1,40,1207,"Horsham (RC)",1170,2.4,946,170,"23190"
477,1.1,33,1309,"Hume (C)",1712,3.1,1214,280,"23270"
540,1.1,44,1321,"Indigo (S)",1367,2.5,1066,180,"23350"
597,1.1,39,1625,"Kingston (C)",1950,2.5,1292,300,"23430"
598,1.1,38,1610,"Knox (C)",1733,2.8,1401,300,"23670"
468,1.1,39,1236,"Latrobe (C)",1200,2.4,942,160,"23810"
377,1.1,50,880,"Loddon (S)",758,2.2,686,100,"23940"
593,1.1,41,1661,"Macedon Ranges (S)",1733,2.7,1395,240,"24130"
571,1.1,42,1713,"Manningham (C)",2000,2.8,1467,360,"24210"
488,1.1,45,1146,"Mansfield (S)",1200,2.3,891,180,"24250"
577,1.2,34,1525,"Maribyrnong (C)",2000,2.5,1257,280,"24330"
611,1.1,38,1615,"Maroondah (C)",1733,2.6,1308,290,"24410"
711,1.2,28,1962,"Melbourne (C)",2167,2.0,1352,400,"24600"
492,1.1,46,1192,"Upper Lachlan Shire (A)",1460,2.4,943,140,"17640"
481,1.1,43,1128,"Uralla (A)",1230,2.6,933,150,"17650"
396,1.2,35,1050,"Greater Dandenong (C)",1517,2.8,953,250,"22670"
610,1.1,32,1486,"Melton (S)",1733,3.0,1363,270,"24650"
463,1.1,39,1092,"Mildura (RC)",1268,2.5,878,170,"24780"
548,1.1,37,1368,"Mitchell (S)",1600,2.7,1170,205,"24850"
437,1.1,44,1001,"Moira (S)",1200,2.4,828,160,"24900"
520,1.1,38,1549,"Monash (C)",2000,2.7,1321,345,"24970"
628,1.1,38,1776,"Moonee Valley (C)",2000,2.5,1377,300,"25060"
540,1.1,39,1409,"Moorabool (S)",1517,2.7,1183,208,"25150"
551,1.2,35,1452,"Moreland (C)",1950,2.5,1215,310,"25250"
538,1.1,43,1351,"Mornington Peninsula (S)",1733,2.4,1054,260,"25340"
460,1.1,47,1078,"Mount Alexander (S)",1213,2.3,838,190,"25430"
531,1.1,41,1276,"Moyne (S)",1300,2.6,1040,150,"25490"
473,1.1,45,1161,"Murrindindi (S)",1400,2.4,917,170,"25620"
698,1.1,39,2070,"Nillumbik (S)",1950,3.0,1872,315,"25710"
447,1.1,45,1053,"Northern Grampians (S)",910,2.3,815,140,"25810"
985,1.2,35,2371,"Port Phillip (C)",2200,2.0,1672,365,"25900"
389,1.1,47,910,"Pyrenees (S)",997,2.3,732,130,"25990"
576,1.0,55,1422,"Queenscliffe (B)",1500,2.1,1022,220,"26080"
481,1.1,44,1148,"South Gippsland (S)",1300,2.4,920,180,"26170"
503,1.1,44,1187,"Southern Grampians (S)",1083,2.3,908,150,"26260"
902,1.1,35,2465,"Stonnington (C)",2447,2.2,1722,360,"26350"
456,1.1,50,1027,"Strathbogie (S)",1104,2.2,843,152,"26430"
602,1.1,40,1516,"Surf Coast (S)",1800,2.6,1277,280,"26490"
481,1.1,39,1089,"Swan Hill (RC)",1192,2.5,886,157,"26610"
459,1.1,47,1052,"Towong (S)",1083,2.3,850,133,"26670"
498,1.1,43,1170,"Wangaratta (RC)",1300,2.4,913,175,"26700"
531,1.1,38,1296,"Warrnambool (C)",1495,2.4,1025,220,"26730"
479,1.1,41,1168,"Wellington (S)",1213,2.4,905,170,"26810"
487,1.1,46,1033,"West Wimmera (S)",715,2.3,815,80,"26890"
561,1.1,39,1682,"Whitehorse (C)",1950,2.6,1317,320,"26980"
519,1.1,34,1375,"Whittlesea (C)",1863,3.0,1275,300,"27070"
577,1.1,35,1317,"Wodonga (RC)",1473,2.5,1075,205,"27170"
635,1.1,32,1556,"Wyndham (C)",1800,2.9,1424,280,"27260"
866,1.2,33,2198,"Yarra (C)",2253,2.2,1680,370,"27350"
579,1.1,38,1492,"Yarra Ranges (S)",1642,2.7,1281,265,"27450"
426,1.1,48,986,"Yarriambiack (S)",650,2.3,773,110,"27630"
738,1.2,31,1339,"Unincorporated Vic",1500,1.9,900,1000,"29399"
259,1.8,25,633,"Aurukun (S)",0,5.0,1153,80,"30250"
568,1.1,36,1202,"Balonne (S)",1200,2.6,1015,120,"30300"
