Median_Tot_prsnl_inc_weekly, Average_num_psns_per_bedroom, Median_age_persons, Median_Tot_fam_inc_weekly, LGA_NAME11, Median_mortgage_repay_monthly, Average_household_size, Median_Tot_hhd_inc_weekly, Median_rent_weekly, LGA_MAIN11
413,1.1,43,947,"Gympie (R)",1347,2.4,806,220,"33620"
478,1.1,46,1187,"Hinchinbrook (S)",1200,2.4,917,152,"33800"
294,1.4,25,738,"Hope Vale (S)",0,3.9,895,98,"33830"
592,1.1,32,1398,"Ipswich (C)",1733,2.8,1233,280,"33960"
1052,1.1,31,2671,"Isaac (R)",1907,2.9,2579,64,"33980"
286,1.6,28,760,"Kowanyama (S)",0,4.1,1077,45,"34420"
312,1.4,26,1062,"Lockhart River (S)",0,3.9,1140,113,"34570"
462,1.1,37,1163,"Lockyer Valley (R)",1517,2.7,1003,250,"34580"
298,1.3,31,854,"Mapoon (S)",0,3.2,892,53,"34830"
645,1.1,36,1444,"Maranoa (R)",1365,2.6,1209,150,"34860"
581,1.1,37,1451,"Moreton Bay (R)",1928,2.7,1258,300,"35010"
287,1.6,26,690,"Mornington (S)",0,4.0,977,60,"35250"
952,1.2,30,2397,"Mount Isa (C)",2000,2.7,2064,250,"35300"
569,1.1,37,1259,"Murweh (S)",1083,2.5,979,130,"35600"
260,1.5,23,692,"Napranum (S)",0,4.2,827,90,"35670"
440,1.1,44,950,"North Burnett (R)",1000,2.3,790,115,"35760"
439,1.5,22,907,"Northern Peninsula Area (R)",0,3.6,959,60,"35780"
568,1.1,42,1413,"Chapman Valley (S)",1500,2.6,1244,150,"51610"
290,1.8,24,954,"Palm Island (S)",0,4.8,1181,100,"35790"
501,1.1,39,1165,"Paroo (S)",520,2.3,875,90,"35800"
546,1.1,43,1081,"Winton (S)",921,2.3,850,70,"37400"
284,1.6,22,706,"Woorabinda (S)",0,3.8,760,105,"37550"
277,1.6,26,691,"Anangu Pitjantjatjara (AC)",0,3.8,1117,20,"40250"
257,1.4,24,614,"Wujal Wujal (S)",0,3.6,942,65,"37570"
274,1.7,22,728,"Yarrabah (S)",0,4.9,1015,120,"37600"
566,1.1,41,1394,"Barossa (DC)",1460,2.5,1125,210,"40310"
404,1.1,51,918,"Barunga West (DC)",867,2.2,714,145,"40430"
446,1.1,42,997,"Berri and Barmera (DC)",1083,2.3,804,150,"40520"
715,1.1,44,2123,"Burnside (C)",2000,2.4,1472,290,"40700"
517,1.1,41,1366,"Campbelltown (C)",1600,2.5,1069,260,"40910"
585,1.1,37,1327,"Ceduna (DC)",1192,2.5,1048,136,"41010"
524,1.1,41,1345,"Charles Sturt (C)",1700,2.3,1019,235,"41060"
536,1.1,44,1136,"Cleve (DC)",733,2.3,938,85,"41190"
435,1.1,45,1057,"Coober Pedy (DC)",581,2.0,694,100,"41330"
483,1.1,45,1166,"Flinders Ranges (DC)",910,2.3,853,130,"41830"
458,1.1,43,992,"Franklin Harbour (DC)",1120,2.3,845,180,"41960"
516,1.1,40,1253,"Gawler (T)",1408,2.4,960,220,"42030"
413,1.1,46,940,"Goyder (DC)",758,2.3,755,120,"42110"
577,1.1,41,1372,"Grant (DC)",1300,2.7,1184,135,"42250"
846,1.1,31,2177,"Coolgardie (S)",1300,2.6,1818,180,"51960"
493,1.1,46,1125,"Coorow (S)",1400,2.2,917,115,"52030"
646,1.1,45,1727,"Holdfast Bay (C)",1850,2.1,1159,270,"42600"
489,1.1,46,1053,"Kangaroo Island (DC)",1083,2.2,834,159,"42750"
389,1.1,46,887,"Karoonda East Murray (DC)",802,2.4,761,88,"43080"
577,1.1,45,1365,"Kimba (DC)",575,2.4,1017,85,"43220"
480,1.0,46,988,"Kingston (DC)",1083,2.2,819,130,"43360"
570,1.1,38,1457,"Light (RegC)",1430,2.8,1274,200,"43650"
526,1.1,40,1238,"Lower Eyre Peninsula (DC)",1200,2.6,1039,140,"43710"
458,1.1,43,1070,"Loxton Waikerie (DC)",1062,2.3,830,135,"43790"
526,1.1,40,1317,"Mallala (DC)",1354,2.7,1167,190,"43920"
258,1.2,38,724,"Maralinga Tjarutja (AC)",0,1.9,500,0,"44000"
552,1.1,39,1422,"Marion (C)",1600,2.3,1064,240,"44060"
403,1.1,48,931,"Mid Murray (DC)",1083,2.2,757,140,"44210"
637,1.1,41,1815,"Mitcham (C)",1733,2.5,1387,265,"44340"
598,1.1,38,1502,"Mount Barker (DC)",1612,2.6,1254,266,"44550"
504,1.1,37,1174,"Mount Gambier (C)",1257,2.3,899,160,"44620"
423,1.1,49,994,"Mount Remarkable (DC)",910,2.3,795,100,"44830"
454,1.1,40,1026,"Murray Bridge (RC)",1200,2.4,836,180,"45040"
433,1.1,49,1090,"Orroroo/Carrieton (DC)",867,2.3,932,71,"45400"
355,1.1,50,727,"Peterborough (DC)",563,2.0,564,125,"45540"
455,1.1,32,1063,"Playford (C)",1300,2.6,896,200,"45680"
484,1.1,37,1221,"Port Adelaide Enfield (C)",1600,2.4,952,220,"45890"
541,1.1,38,1245,"Port Augusta (C)",1200,2.4,986,150,"46090"
523,1.1,38,1203,"Port Lincoln (C)",1300,2.4,924,180,"46300"
404,1.1,41,1006,"Port Pirie City and Dists (M)",1000,2.3,771,150,"46450"
660,1.1,36,1821,"Prospect (C)",1777,2.4,1336,260,"46510"
462,1.1,40,1052,"Renmark Paringa (DC)",1083,2.4,842,150,"46670"
555,1.0,45,1206,"Robe (DC)",1389,2.3,846,160,"46860"
1464,1.1,29,2840,"Roxby Downs (M)",2323,2.9,2756,196,"46970"
502,1.1,35,1193,"Salisbury (C)",1410,2.6,1021,240,"47140"
480,1.1,43,1060,"Southern Mallee (DC)",780,2.3,866,95,"47290"
463,1.1,43,1044,"Streaky Bay (DC)",1116,2.4,812,140,"47490"
528,1.1,40,1152,"Tatiara (DC)",1000,2.5,946,132,"47630"
591,1.0,40,1493,"Tea Tree Gully (C)",1517,2.6,1246,260,"47700"
427,1.1,44,964,"The Coorong (DC)",877,2.4,785,110,"47800"
723,1.1,39,2065,"Unley (C)",1950,2.3,1428,280,"47980"
408,1.0,56,905,"Victor Harbor (C)",1213,2.1,751,210,"48050"
460,1.1,42,1041,"Wakefield (DC)",997,2.4,842,150,"48130"
544,1.1,38,1262,"Wudinna (DC)",758,2.4,973,84,"48640"
437,1.1,51,946,"Yankalilla (DC)",1120,2.2,778,190,"48750"
858,1.1,42,2530,"East Fremantle (T)",2200,2.5,1834,360,"53150"
1812,1.2,32,2756,"East Pilbara (S)",358,3.1,2695,75,"53220"
699,1.1,44,2118,"Walkerville (M)",1950,2.3,1451,261,"48260"
470,1.1,42,1131,"Wattle Range (DC)",975,2.4,884,130,"48340"
546,1.1,38,1359,"West Torrens (C)",1690,2.3,1014,250,"48410"
472,1.1,38,1276,"Whyalla (C)",1300,2.3,934,150,"48540"
394,1.1,52,889,"Yorke Peninsula (DC)",975,2.2,717,138,"48830"
746,1.2,39,1340,"Unincorporated SA",867,2.3,1087,45,"49399"
522,1.1,41,1269,"Albany (C)",1560,2.4,1003,230,"50080"
578,1.1,38,1401,"Esperance (S)",1517,2.5,1138,180,"53290"
737,1.1,38,1719,"Exmouth (S)",2167,2.4,1373,257,"53360"
680,1.1,41,1863,"Fremantle (C)",2167,2.2,1299,300,"53430"
603,1.1,36,1492,"Geraldton-Greenough (C)",1647,2.6,1225,230,"53520"
472,1.1,44,1123,"Gingin (S)",1603,2.5,937,200,"53570"
621,1.1,34,1534,"Armadale (C)",1850,2.7,1309,290,"50210"
1873,1.1,33,2831,"Ashburton (S)",954,2.8,2705,30,"50250"
565,1.1,42,1577,"Chittering (S)",2000,2.7,1368,220,"51680"
612,1.1,36,1307,"Gnowangerup (S)",650,2.5,1003,100,"53640"
826,1.1,41,2612,"Claremont (T)",2700,2.3,1789,398,"51750"
691,1.0,34,1820,"Cockburn (C)",2015,2.7,1554,330,"51820"
558,1.1,39,1695,"Collie (S)",1586,2.5,1339,195,"51890"
539,1.1,47,1113,"Corrigin (S)",693,2.2,915,100,"52100"
1024,1.1,40,2799,"Cottesloe (T)",3000,2.5,2409,450,"52170"
485,1.1,41,1031,"Cranbrook (S)",860,2.4,842,80,"52240"
469,1.1,44,991,"Cuballing (S)",1000,2.4,895,100,"52310"
380,1.2,49,840,"Cue (S)",217,2.0,671,100,"52380"
510,1.1,38,1239,"Cunderdin (S)",997,2.4,947,114,"52450"
681,1.1,40,1488,"Dalwallinu (S)",953,2.5,1171,110,"52520"
573,1.1,43,1283,"Dandaragan (S)",1500,2.3,994,200,"52590"
636,1.0,35,1697,"Dardanup (S)",1900,2.7,1502,290,"52660"
470,1.1,47,1042,"Denmark (S)",1359,2.3,848,210,"52730"
409,1.3,29,1048,"Derby-West Kimberley (S)",1733,3.2,1208,65,"52800"
496,1.1,44,1278,"Donnybrook-Balingup (S)",1404,2.5,990,195,"52870"
518,1.1,43,1023,"Dowerin (S)",650,2.3,827,90,"52940"
497,1.1,40,958,"Dumbleyung (S)",813,2.3,810,80,"53010"
796,1.1,37,1555,"Dundas (S)",655,2.3,1130,100,"53080"
897,1.1,31,2280,"Kalgoorlie/Boulder (C)",1950,2.7,1969,260,"54280"
1562,1.1,32,2200,"Leonora (S)",800,2.7,1874,0,"55040"
475,1.1,42,1042,"Goomalling (S)",1000,2.5,852,100,"53710"
272,1.4,28,595,"Ngaanyatjarraku (S)",0,3.4,939,21,"56620"
623,1.1,33,1561,"Gosnells (C)",1800,2.8,1372,310,"53780"
312,1.6,26,755,"Halls Creek (S)",175,3.7,968,50,"53920"
603,1.1,37,1683,"Harvey (S)",1842,2.7,1464,260,"53990"
517,1.1,44,1283,"Irwin (S)",1700,2.4,995,195,"54060"
597,1.1,40,1191,"Jerramungup (S)",1000,2.4,958,105,"54130"
718,1.0,38,2036,"Joondalup (C)",2000,2.8,1780,370,"54170"
681,1.0,38,1779,"Kalamunda (S)",1989,2.7,1521,320,"54200"
526,1.1,36,1149,"Katanning (S)",1213,2.6,950,140,"54340"
391,1.1,43,1027,"Kellerberrin (S)",737,2.5,824,100,"54410"
611,1.0,37,1083,"Kent (S)",758,2.6,990,80,"54480"
528,1.1,41,1158,"Kojonup (S)",932,2.4,954,103,"54550"
610,1.1,39,992,"Kondinin (S)",823,2.4,920,110,"54620"
502,1.0,42,859,"Koorda (S)",379,2.5,865,86,"54690"
540,1.1,41,1130,"Kulin (S)",520,2.4,918,89,"54760"
606,1.1,32,1451,"Kwinana (T)",1800,2.7,1253,260,"54830"
616,1.0,40,1302,"Lake Grace (S)",950,2.3,993,100,"54900"
1460,1.3,37,793,"Laverton (S)",953,2.5,900,70,"54970"
506,1.1,37,1181,"Narrogin (T)",1300,2.4,955,160,"56520"
818,1.1,41,2779,"Nedlands (C)",3000,2.8,2490,430,"56580"
292,1.5,37,700,"Menzies (S)",2813,3.1,900,86,"55390"
700,1.1,39,1399,"Mingenew (S)",309,2.4,981,100,"55530"
1421,1.2,31,2944,"Port Hedland (T)",2600,2.8,2809,120,"57280"
590,1.1,37,1361,"Moora (S)",919,2.5,1180,125,"55600"
472,1.1,43,1137,"Northern Midlands (M)",1246,2.4,909,150,"64610"
550,1.1,37,1256,"Morawa (S)",850,2.6,1086,100,"55670"
1028,1.0,40,2912,"Peppermint Grove (S)",2167,2.8,2685,370,"56930"
393,1.1,44,922,"Dorset (M)",997,2.3,734,135,"61810"
747,1.1,38,2555,"Mosman Park (T)",2582,2.3,1497,285,"55740"
582,1.3,37,885,"Mount Magnet (S)",650,2.5,1045,130,"55810"
613,1.0,39,1275,"Mount Marshall (S)",860,2.5,970,60,"55880"
411,1.1,44,910,"Pingelly (S)",1083,2.4,759,124,"57140"
470,1.1,43,1093,"Plantagenet (S)",1300,2.4,888,164,"57210"
550,1.1,45,1312,"Mukinbudin (S)",530,2.3,1055,65,"55950"
553,1.2,38,1187,"Murchison (S)",6100,2.6,1018,45,"56160"
488,1.1,43,1325,"Murray (S)",1950,2.5,1069,245,"56230"
459,1.1,49,984,"Nannup (S)",1620,2.3,821,116,"56300"
454,1.0,52,963,"Flinders (M)",1000,1.9,830,80,"62010"
394,1.1,42,972,"George Town (M)",1200,2.4,788,170,"62210"
422,1.1,53,908,"Glamorgan/Spring Bay (M)",1096,2.1,753,160,"62410"
487,1.1,39,1126,"Glenorchy (C)",1322,2.3,869,215,"62610"
641,1.1,38,1782,"Hobart (C)",1700,2.3,1260,260,"62810"
441,1.1,42,1058,"Huon Valley (M)",1192,2.5,868,200,"63010"
395,1.1,43,962,"Kentish (M)",1116,2.5,820,160,"63210"
625,1.1,46,1357,"King Island (M)",867,2.1,953,115,"63410"
594,1.1,40,1473,"Kingborough (M)",1517,2.5,1208,275,"63610"
480,1.1,44,1136,"Latrobe (M)",1300,2.4,923,195,"63810"
484,1.1,38,1175,"Launceston (C)",1300,2.3,907,200,"64010"
477,1.1,42,1175,"Meander Valley (M)",1300,2.4,922,200,"64210"
538,1.1,44,1181,"Narembeen (S)",650,2.3,961,100,"56370"
465,1.1,39,1284,"West Coast (M)",769,2.2,966,125,"65610"
517,1.1,42,1286,"West Tamar (M)",1311,2.5,1028,220,"65810"
517,1.1,39,1242,"Northam (S)",1300,2.5,1005,180,"56730"
1297,1.1,38,1471,"Perenjori (S)",867,2.5,1105,100,"57000"
1018,1.2,32,2448,"Perth (C)",2496,1.8,1858,440,"57080"
485,1.1,48,2449,"Sandstone (S)",2000,2.0,1042,0,"57630"
866,1.2,33,1974,"Alice Springs (T)",1950,2.6,1692,300,"70200"
497,1.1,46,1275,"Toodyay (S)",1517,2.4,1012,230,"58330"
911,1.1,28,2009,"Palmerston (C)",2167,2.9,1814,365,"72800"
250,1.6,26,589,"Tiwi Islands (S)",542,4.0,774,40,"74050"
275,1.8,23,650,"Victoria-Daly (S)",867,4.1,1021,40,"74500"
511,1.1,44,1166,"Trayning (S)",498,2.3,807,75,"58400"
311,1.4,27,650,"Upper Gascoyne (S)",0,3.2,862,50,"58470"
537,1.1,41,1238,"Victoria Plains (S)",477,2.4,902,70,"58540"
880,1.3,47,1922,"Wagait (S)",2100,2.0,1302,175,"74560"
325,1.8,26,997,"West Arnhem (S)",108,4.2,1717,50,"74660"
867,1.1,34,2309,"Vincent (T)",2300,2.2,1689,360,"58570"
918,1.1,34,2277,"Unincorporated ACT",2167,2.6,1920,380,"89399"
817,1.2,32,1753,"Unincorp. Other Territories",867,2.9,1670,89,"99399"
774,1.1,43,1292,"Westonia (S)",1439,2.3,1458,46,"59030"
496,1.1,42,911,"Wickepin (S)",606,2.4,777,110,"59100"
611,1.1,43,1289,"Williams (S)",1083,2.3,1107,115,"59170"
645,1.1,38,1423,"Wongan-Ballidu (S)",975,2.4,1172,114,"59310"
945,1.1,38,1434,"Yilgarn (S)",867,2.4,1118,100,"59360"
477,1.1,47,1156,"York (S)",1404,2.4,908,200,"59370"
366,1.1,50,831,"Break O'Day (M)",953,2.1,654,167,"60210"
485,1.1,33,1083,"Brighton (M)",1300,2.7,957,185,"60410"
455,1.1,38,1080,"Burnie (C)",1148,2.4,854,175,"60610"
450,1.1,43,1108,"Central Coast (M)",1235,2.4,869,180,"60810"
376,1.1,45,866,"Central Highlands (M)",832,2.3,710,79,"61010"
509,1.1,38,1156,"Circular Head (M)",1092,2.5,936,130,"61210"
577,1.1,41,1400,"Clarence (C)",1500,2.4,1124,235,"61410"
432,1.1,41,1080,"Derwent Valley (M)",1200,2.5,869,185,"61510"
457,1.1,40,1048,"Devonport (C)",1257,2.4,835,190,"61610"
312,1.6,27,763,"Barkly (S)",967,3.5,1158,50,"70420"
272,1.7,27,625,"Central Desert (S)",0,4.3,1063,20,"70620"
528,1.2,43,1066,"Coomalie (S)",1333,2.2,806,92,"70700"
899,1.2,34,2063,"Darwin (C)",2167,2.6,1809,360,"71000"
263,2.0,25,728,"East Arnhem (S)",108,5.3,1410,40,"71300"
759,1.2,31,1759,"Katherine (T)",1733,2.8,1534,200,"72200"
864,1.2,36,2010,"Litchfield (M)",2167,2.8,1767,300,"72300"
257,1.7,27,571,"MacDonnell (S)",1625,4.0,954,25,"72330"
