sla_code06, sla_name06, ci_high, se, ci_low, estimate, rse
"235052623","Gr. Bendigo (C) - Inner East",54.8,7.6,25.7,39.3,19.4
"235052624","Gr. Bendigo (C) - Inner North",33.0,5.9,9.8,18.8,31.3
"235052625","Gr. Bendigo (C) - Inner West",76.6,11.2,35.3,57.2,19.6
"235052626","Gr. Bendigo (C) - S'saye",43.6,9.0,8.7,21.3,42.1
"235101671","C. Goldfields (S) - M'borough",30.6,3.6,16.7,22.9,15.5
"235101674","C. Goldfields (S) Bal",32.1,5.6,10.0,18.6,30.2
"235102628","Gr. Bendigo (C) - Pt B",48.7,7.7,19.4,32.4,23.7
"235103943","Loddon (S) - North",29.5,4.7,10.9,18.5,25.5
"235103945","Loddon (S) - South",29.4,4.3,12.5,19.6,22.0
"250052111","E. Gippsland (S) - Bairnsdale",30.6,4.2,14.1,21.2,19.9
"250052113","E. Gippsland (S) - Orbost",31.7,5.6,9.7,18.3,30.5
"250052115","E. Gippsland (S) - South-West",46.8,10.2,7.2,20.7,49.2
"250052117","E. Gippsland (S) Bal",null,null,null,null,null
"250156811","Wellington (S) - Alberton",36.1,6.7,9.8,19.8,33.8
"250156812","Wellington (S) - Avon",36.7,7.6,5.8,15.9,48.0
"250156813","Wellington (S) - Maffra",35.7,5.8,13.2,22.5,25.6
"250156814","Wellington (S) - Rosedale",34.9,6.7,8.2,18.0,37.5
"250156815","Wellington (S) - Sale",33.1,4.8,14.2,22.3,21.6
"255050831","Baw Baw (S) - Pt A",47.9,9.8,10.4,24.6,39.8
"255053811","Latrobe (C) - Moe",50.8,7.5,22.2,35.2,21.3
