sla_code06, sla_name06, ci_high, se, ci_low, estimate, rse
205752674,Gr. Dandenong (C) Bal,20.4,3.6,5.6,11,33.2
205801452,Cardinia (S) - North,25.4,4.9,5.4,12.2,40.2
205801453,Cardinia (S) - Pakenham,38.3,6.8,11.8,22.4,30.4
205801454,Cardinia (S) - South,null,0,null,0,null
205801612,Casey (C) - Berwick,26.1,3.8,11.2,17.5,21.6
240101376,Campaspe (S) - South,null,0,null,0,null
240102834,Gr. Shepparton (C) - Pt B East,null,null,null,null,null
240102835,Gr. Shepparton (C) - Pt B West,null,0,null,0,null
240104901,Moira (S) - East,null,null,null,null,58
240104904,Moira (S) - West,null,null,null,null,75.6
240151011,Benalla (RC) - Benalla,null,null,null,null,100.2
240151014,Benalla (RC) Bal,null,null,null,null,69.9
240154250,Mansfield (S),12.1,2.3,2.6,5.7,39.9
240156430,Strathbogie (S),null,null,null,null,50.4
240204851,Mitchell (S) - North,null,null,null,null,50
240204854,Mitchell (S) - South,26.3,4.3,9.2,15.9,27.1
240205621,Murrindindi (S) - East,15.6,2.9,3.7,7.8,37
240205622,Murrindindi (S) - West,39,7,11.8,22.7,30.8
245053351,Indigo (S) - Pt A,null,null,null,null,70.7
245056671,Towong (S) - Pt A,null,null,null,null,71
245057170,Wodonga (RC),null,null,null,null,100.5
245103352,Indigo (S) - Pt B,null,0,null,0,null
245106701,Wangaratta (RC) - Central,null,null,null,null,100.7
245106704,Wangaratta (RC) - North,null,null,null,null,100.7
245106705,Wangaratta (RC) - South,null,null,null,null,72.2
245150111,Alpine (S) - East,26.1,5.3,4,10.8,48.8
245150112,Alpine (S) - West,null,null,null,null,57.8
205801613,Casey (C) - Cranbourne,32,5.5,10.3,18.8,29.2
245156672,Towong (S) - Pt B,17.3,3.3,3.7,8.2,39.5
205801616,Casey (C) - Hallam,28.8,5.4,7.1,15,36.1
205801618,Casey (C) - South,null,null,null,null,99.1
210052753,Geelong,null,null,null,null,98.4
210052754,Geelong West,null,0,null,0,null
210052755,Newtown,null,null,null,null,72.5
210052756,South Barwon - Inner,null,null,null,null,74
210102757,Greater Geelong (C) - Pt B,40.2,7.8,9.9,21.4,36.3
210151751,Colac-Otway (S) - Colac,null,null,null,null,59
210151754,Colac-Otway (S) - North,null,null,null,null,99.9
210151755,Colac-Otway (S) - South,null,0,null,0,null
